PERMNO,date,TICKER,PRC,SHROUT
90993,20111130,ICE,121.72,72653
90993,20111230,ICE,120.55,72653
90993,20120131,ICE,114.48,72653
90993,20120229,ICE,137.96001,72590
90993,20120330,ICE,137.42,72590
90993,20120430,ICE,133.03999,72742
90993,20120531,ICE,122.45,72749
90993,20120629,ICE,135.98,72749
90993,20120731,ICE,131.22,72749
90993,20120831,ICE,136.7,72762
90993,20120928,ICE,133.41,72762
90993,20121031,ICE,131,72762
90993,20121130,ICE,132.14999,72719
90993,20121231,ICE,123.81,72534
90993,20130131,ICE,138.75,72534
90993,20130228,ICE,154.82001,72652
90993,20130328,ICE,163.07001,72652
90993,20130430,ICE,162.92999,72765
90993,20130531,ICE,171.21001,72771
90993,20130628,ICE,177.75999,72771
90993,20130731,ICE,182.45,72771
90993,20130830,ICE,179.75,72844
90993,20130930,ICE,181.42,72844
90993,20131031,ICE,192.73,72844
90993,20131129,ICE,213.28999,115036
90993,20131231,ICE,224.92,115036
90993,20140131,ICE,208.78999,115036
90993,20140228,ICE,208.84,114961
90993,20140331,ICE,197.83,115060
90993,20140430,ICE,204.44,115095
90993,20140530,ICE,196.39999,115157
90993,20140630,ICE,188.89999,115157
90993,20140731,ICE,192.22,115157
90993,20140829,ICE,189,113442
90993,20140930,ICE,195.05,113442
90993,20141031,ICE,208.28999,113442
90993,20141128,ICE,225.99001,112707
90993,20141231,ICE,219.28999,112707
90993,20150130,ICE,205.73,112707
90993,20150227,ICE,235.36,112009
90993,20150331,ICE,233.27,111754
90993,20150430,ICE,224.53,111754
90993,20150529,ICE,236.78,111310
90993,20150630,ICE,223.61,111310
90993,20150731,ICE,228.03999,111310
90993,20150831,ICE,228.41,110489
90993,20150930,ICE,234.99001,110489
90993,20151030,ICE,252.39999,109743
90993,20151130,ICE,259.84,109760
90993,20151231,ICE,256.26001,118744
90993,20160129,ICE,263.79999,118744
90993,20160229,ICE,238.46001,118888
90993,20160331,ICE,235.14,119034
90993,20160429,ICE,240.03,119034
90993,20160531,ICE,271.12,119046
90993,20160630,ICE,255.96001,119046
90993,20160729,ICE,264.20001,119046
90993,20160831,ICE,282.01999,119154
90993,20160930,ICE,269.35999,119154
90993,20161031,ICE,270.39001,119154
90993,20161130,ICE,55.4,595676
90993,20161230,ICE,56.42,595676
90993,20170131,ICE,58.36,595676
90993,20170228,ICE,57.13,595341
90993,20170331,ICE,59.87,593454
90993,20170428,ICE,60.2,593454
90993,20170531,ICE,60.19,592067
90993,20170630,ICE,65.92,592067
90993,20170731,ICE,66.71,588493
90993,20170831,ICE,64.67,588493
90993,20170929,ICE,68.7,588493
90993,20171031,ICE,66.1,588493
90993,20171130,ICE,71.45,585026
90993,20171229,ICE,70.56,585026
90993,20180131,ICE,73.84,585026
90993,20180228,ICE,73.08,582294
90993,20180329,ICE,72.52,582294
90993,20180430,ICE,72.46,580976
90993,20180531,ICE,70.89,579228
90993,20180629,ICE,73.55,579228
90993,20180731,ICE,73.91,579228
90993,20180831,ICE,76.23,573437
